level,base_attack_bonus,base_fortitude,base_reflex,base_will,special,level_0_spells,level_1_spells,level_2_spells,level_3_spells,level_4_spells,level_5_spells,level_6_spells,level_7_spells,level_8_spells,level_9_spells
1,0,2,0,2,turn_undead,3,1+1,,,,,,,,
2,1,3,0,3,,4,2+1,,,,,,,,
3,2,3,1,3,,5,3+1,1+1,,,,,,,
4,3,4,1,4,,5,3+1,2+1,,,,,,,
5,3,4,1,4,,5,3+1,2+1,1+1,,,,,,
6,4,5,2,5,,6,4+1,3+1,2+1,,,,,,
7,5,5,2,5,,6,4+1,3+1,2+1,1+1,,,,,
8,6,6,2,6,,6,4+1,3+1,3+1,2+1,,,,,
9,6,6,3,6,,6,4+1,4+1,3+1,2+1,1+1,,,,
10,7,7,3,7,,6,5+1,4+1,3+1,3+1,2+1,,,,
11,8,7,3,7,,6,5+1,4+1,4+1,3+1,2+1,1+1,,,
12,9,8,4,8,,6,5+1,4+1,4+1,3+1,3+1,2+1,,,
13,9,8,4,8,,6,5+1,5+1,4+1,4+1,3+1,2+1,1+1,,
14,10,9,4,9,,6,5+1,5+1,4+1,4+1,3+1,3+1,2+1,,
15,11,9,5,9,,6,5+1,5+1,5+1,4+1,4+1,3+1,2+1,1+1,
16,12,10,5,10,,6,5+1,5+1,5+1,4+1,4+1,3+1,3+1,2+1,
17,12,10,5,10,,6,5+1,5+1,5+1,5+1,4+1,4+1,3+1,2+1,1+1
18,13,11,6,11,,6,5+1,5+1,5+1,5+1,4+1,4+1,3+1,3+1,2+1
19,14,11,6,11,,6,5+1,5+1,5+1,5+1,5+1,4+1,4+1,3+1,3+1
20,15,12,6,12,,6,5+1,5+1,5+1,5+1,5+1,4+1,4+1,3+1,4+1
