level,base_attack_bonus,base_fortitude,base_reflex,base_will,special,level_0_spells,level_1_spells,level_2_spells,level_3_spells,level_4_spells,level_5_spells,level_6_spells,level_7_spells,level_8_spells,level_9_spells
1,0,0,2,2,"bardic_music,bardic_knowledge,countersong,fascinate,inspire_courage+1",2,,,,,,,,,
2,1,0,3,3,,3,0+1,,,,,,,,
3,2,1,3,3,inspire_competence,3,1+1,,,,,,,,
4,3,1,4,4,,3,2+1,0+1,,,,,,,
5,3,1,4,4,,3,3+1,1+1,,,,,,,
6,4,2,5,5,suggestion,3,3+1,2+1,,,,,,,
7,5,2,5,5,,3,3+1,2+1,0+1,,,,,,
8,6/+1,2,6,6,inspire_courage+2,3,3+1,3+1,1+1,,,,,,
9,6/+1,3,6,6,inspire_greatness,3,3+1,3+1,2+1,,,,,,
10,7/+2,3,7,7,,3,3+1,3+1,2+1,0+1,,,,,
11,8/+3,3,7,7,,3,3+1,3+1,3+1,1+1,,,,,
12,9/+4,4,8,8,song_of_freedom,3,3+1,3+1,3+1,2+1,,,,,
13,9/+4,4,8,8,,3,3+1,3+1,3+1,2+1,0+1,,,,
14,10/+5,4,9,9,inspire_courage+3,4,3+1,3+1,3+1,3+1,1+1,,,,
15,11/+6/+1,5,9,9,inspire_heroics,4,4+1,3+1,3+1,3+1,2+1,,,,
16,12/+7/+2,5,10,10,,4,4+1,4+1,3+1,3+1,2+1,0+1,,,
17,12/+7/+2,5,10,10,,4,4+1,4+1,4+1,4+1,3+1,1+1,,,
18,13/+8/+3,6,11,11,mass_suggestion,4,4+1,4+1,4+1,4+1,3+1,2+1,,,
19,14/+5/+4,6,11,11,,4,4+1,4+1,4+1,4+1,3+1,3+1,,,
20,15/+10/+5,6,12,12,inspire_courage+4,4,4+1,4+1,4+1,4+1,4+1,4+1,,,
