level,base_attack_bonus,base_fortitude,base_reflex,base_will,special,level_0_spells,level_1_spells,level_2_spells,level_3_spells,level_4_spells,level_5_spells,level_6_spells,level_7_spells,level_8_spells,level_9_spells
1,0,2,0,2,"animal_companion, nature_sense, wild_empathy",3,1+1,,,,,,,,
2,1,3,0,3,woodland_stride,4,2+1,,,,,,,,
3,2,3,1,3,trackless_step,5,3+1,1+1,,,,,,,
4,3,4,1,4,resist_natures_lure,5,3+1,2+1,,,,,,,
5,3,4,1,4,wild_shape_1,5,3+1,2+1,1+1,,,,,,
6,4,5,2,5,wild_shape_2,6,4+1,3+1,2+1,,,,,,
7,5,5,2,5,wild_shape_3,6,4+1,3+1,2+1,1+1,,,,,
8,6/+1,6,2,6,wild_shape_large,6,4+1,3+1,3+1,2+1,,,,,
9,6/+1,6,3,6,venom_immunity,6,4+1,4+1,3+1,2+1,1+1,,,,
10,7/+2,7,3,7,wild_shape_4,6,5+1,4+1,3+1,3+1,2+1,,,,
11,8/+3,7,3,7,wild_shape_tiny,6,5+1,4+1,4+1,3+1,2+1,1+1,,,
12,9/+4,8,4,8,wild_shape_plant,6,5+1,4+1,4+1,3+1,3+1,2+1,,,
13,9/+4,8,4,8,a_thousand_faces,6,5+1,5+1,4+1,4+1,3+1,2+1,1+1,,
14,10/+5,9,4,9,wild_shape_5,6,5+1,5+1,4+1,4+1,3+1,3+1,2+1,,
15,11/+6/+1,9,5,9,"timeless_body, wild_shape_huge",6,5+1,5+1,5+1,4+1,4+1,3+1,2+1,1+1,
16,12/+7/+2,10,5,10,wild_shape_elemental_1,6,5+1,5+1,5+1,4+1,4+1,3+1,3+1,2+1,
17,12/+7/+2,10,5,10,,6,5+1,5+1,5+1,5+1,4+1,4+1,3+1,2+1,1+1
18,13/+8/+3,11,6,11,"wild_shape_6, wild_shape_elemental_2",6,5+1,5+1,5+1,5+1,4+1,4+1,3+1,3+1,2+1
19,14/+5/+4,11,6,11,,6,5+1,5+1,5+1,5+1,5+1,4+1,4+1,3+1,3+1
20,15/+10/+5,12,6,12,"wild_shape_elemental_3, wild_shape_huge_elemental",6,5+1,5+1,5+1,5+1,5+1,4+1,4+1,4+1,4+1
