level,base_attack_bonus,base_fortitude,base_reflex,base_will,special
1,1,2,0,0,bonus_feat
2,2,3,0,0,bonus_feat
3,3,3,1,1,
4,4,4,1,1,bonus_feat
5,5,4,1,1,
6,6/+1,5,2,2,bonus_feat
7,7/+2,5,2,2,
8,8/+3,6,2,2,bonus_feat
9,9/+4,6,3,3,
10,10/+5,7,3,3,bonus_feat
11,11/+6/+1,7,3,3,
12,12/+7/+2,8,4,4,bonus_feat
13,13/+8/+3,8,4,4,
14,14/+9/+4,9,4,4,bonus_feat
15,15/+10/+5,9,5,5,
16,16/+11/+6/+1,10,5,5,bonus_feat
17,17/+12/+7/+2,10,5,5,
18,18/+13/+8/+3,11,6,6,bonus_feat
19,19/+14/+9/+4,11,6,6,
20,20/+15/+10/+5,12,6,6,bonus_feat
