level,base_attack_bonus,base_fortitude,base_reflex,base_will,special,level_1_spells,level_2_spells,level_3_spells,level_4_spells,,,,level_7_spells,level_8_spells,level_9_spells
1,1,2,2,0,"1st_favored_enemy, track, wild_empathy",,,,,,,,,,
2,2,3,3,0,combat_style,,,,,,,,,,
3,3,3,3,1,endurance,,,,,,,,,,
4,4,4,4,1,animal_companion,0+1,,,,,,,,,
5,5,4,4,1,2nd_favored_enemy,0+1,,,,,,,,,
6,6/+1,5,5,2,improved_combat_style,1+1,,,,,,,,,
7,7/+2,5,5,2,woodland_stride,1+1,,,,,,,,,
8,8/+3,6,6,2,swift_tracker,1+1,0+1,,,,,,,,
9,9/+4,6,6,3,evasion,1+1,0+1,,,,,,,,
10,10/+5,7,7,3,3rd_favored_enemy,1+1,1+1,,,,,,,,
11,11/+6/+1,7,7,3,combat_style_mastery,1+1,1+1,0+1,,,,,,,
12,12/+7/+2,8,8,4,,1+1,1+1,0+1,,,,,,,
13,13/+8/+3,8,8,4,camouflage,1+1,1+1,1+1,,,,,,,
14,14/+9/+4,9,9,4,,2+1,1+1,1+1,0+1,,,,,,
15,15/+10/+5,9,9,5,4th_favored_enemy,2+1,1+1,1+1,1+1,,,,,,
16,16/+11/+6/+1,10,10,5,,2+1,2+1,1+1,1+1,,,,,,
17,17/+12/+7/+2,10,10,5,hide_in_plain_sight,2+1,2+1,2+1,1+1,,,,,,
18,18/+13/+8/+3,11,11,6,,3+1,2+1,2+1,1+1,,,,,,
19,19/+14/+9/+4,11,11,6,,3+1,3+1,3+1,2+1,,,,,,
20,20/+15/+10/+5,12,12,6,5th_favored_enemy,3+1,3+1,3+1,3+1,,,,,,
