level,base_attack_bonus,base_fortitude,base_reflex,base_will,special
1,12/+7/+2,2,0,0,"fast_movement,illiteracy,rage_1"
2,12/+7/+2,3,0,0,uncanny_dodge
3,12/+7/+2,3,1,1,trap_sense+1
4,12/+7/+2,4,1,1,rage_2
5,12/+7/+2,4,1,1,improved_uncanny_dodge
6,12/+7/+2,5,2,2,trap_sense+2
7,12/+7/+2,5,2,2,damage_reduction_1
8,12/+7/+2,6,2,2,rage_3
9,12/+7/+2,6,3,3,trap_sense+3
10,12/+7/+2,7,3,3,damage_reduction_2
11,12/+7/+2,7,3,3,greater_rage
12,12/+7/+2,8,4,4,"rage_4,trap_sense+4"
13,12/+7/+2,8,4,4,damage_reduction_3
14,12/+7/+2,9,4,4,indomitable_will
15,12/+7/+2,9,5,5,trap_sense+5
16,12/+7/+2,10,5,5,"damage_reduction_4,rage_5"
17,12/+7/+2,10,5,5,tireless_rage
18,12/+7/+2,11,6,6,trap_sense+6
19,12/+7/+2,11,6,6,damage_reduction_5
20,12/+7/+2,12,6,6,"mighty_rage,rage_6"
